title,subject,url,description
Cell-Matrix Mechanics (Fall 2014),mechanical-engineering,https://ocw.mit.edu/courses/mechanical-engineering/2-785j-cell-matrix-mechanics-fall-2014,"Mechanical forces play a decisive role during development of tissues and organs, during remodeling following injury as well as in normal function. A stress field influences cell function primarily through deformation of the extracellular matrix to which cells are attached. Deformed cells express different biosynthetic activity relative to undeformed cells. The unit cell process paradigm combined with topics in connective tissue mechanics form the basis for discussions of several topics from cell biology, physiology, and medicine."
Topics in Biophysics and Physical Biology (Fall 2014),biological-engineering,https://ocw.mit.edu/courses/biological-engineering/20-416j-topics-in-biophysics-and-physical-biology-fall-2014,"This course provides broad exposure to research in biophysics and physical biology, with emphasis on the critical evaluation of scientific literature. Weekly meetings include in-depth discussion of scientific literature led by various MIT faculty on active research topics. Each session also includes a brief discussion of non-research topics including effective presentation skills, writing papers and fellowship proposals, choosing scientific and technical research topics, time management, and scientific ethics."
Biomolecular Kinetics and Cellular Dynamics (BE.420J) (Fall 2004),biological-engineering,https://ocw.mit.edu/courses/biological-engineering/20-420j-biomolecular-kinetics-and-cellular-dynamics-be-420j-fall-2004,"This subject deals primarily with kinetic and equilibrium mathematical models of biomolecular interactions, as well as the application of these quantitative analyses to biological problems across a wide range of levels of organization, from individual molecular interactions to populations of cells."
"Fields, Forces, and Flows in Biological Systems (Fall 2015)",biological-engineering,https://ocw.mit.edu/courses/biological-engineering/20-430j-fields-forces-and-flows-in-biological-systems-fall-2015,"This course covers the fundamental driving forces for transport—chemical gradients, electrical interactions, and fluid flow—as applied to the biology and biophysics of molecules, cells, and tissues."
Analysis of Biological Networks (BE.440) (Fall 2004),biological-engineering,https://ocw.mit.edu/courses/biological-engineering/20-440-analysis-of-biological-networks-be-440-fall-2004,"This class analyzes complex biological processes from the molecular, cellular, extracellular, and organ levels of hierarchy. Emphasis is placed on the basic biochemical and biophysical principles that govern these processes. Examples of processes to be studied include chemotaxis, the fixation of nitrogen into organic biological molecules, growth factor and hormone mediated signaling cascades, and signaling cascades leading to cell death in response to DNA damage. In each case, the availability of a resource, or the presence of a stimulus, results in some biochemical pathways being turned on while others are turned off. The course examines the dynamic aspects of these processes and details how biochemical mechanistic themes impinge on molecular/cellular/tissue/organ-level functions. Chemical and quantitative views of the interplay of multiple pathways as biological networks are emphasized. Student work culminates in the preparation of a unique grant application in an area of biological networks."
Biomaterials-Tissue Interactions (Fall 2009),biological-engineering,https://ocw.mit.edu/courses/biological-engineering/20-441j-biomaterials-tissue-interactions-fall-2009,"This course covers the principles of materials science and cell biology underlying the design of medical implants, artificial organs, and matrices for tissue engineering. Methods for biomaterials surface characterization and analysis of protein adsorption on biomaterials. Molecular and cellular interactions with biomaterials are analyzed in terms of unit cell processes, such as matrix synthesis, degradation, and contraction. Mechanisms underlying wound healing and tissue remodeling following implantation in various organs. Tissue and organ regeneration. Design of implants and prostheses based on control of biomaterials-tissue interactions. Comparative analysis of intact, biodegradable, and bioreplaceable implants by reference to case studies. Criteria for restoration of physiological function for tissues and organs."
Molecular Structure of Biological Materials (BE.442) (Fall 2005),biological-engineering,https://ocw.mit.edu/courses/biological-engineering/20-442-molecular-structure-of-biological-materials-be-442-fall-2005,"This course, intended for both graduate and upper level undergraduate students, will focus on understanding of the basic molecular structural principles of biological materials. It will address the molecular structures of various materials of biological origin, such as several types of collagen, silk, spider silk, wool, hair, bones, shells, protein adhesives, GFP, and self-assembling peptides. It will also address molecular design of new biological materials applying the molecular structural principles. The long-term goal of this course is to teach molecular design of new biological materials for a broad range of applications. A brief history of biological materials and its future perspective as well as its impact to the society will also be discussed. Several experts will be invited to give guest lectures."
Molecular and Cellular Pathophysiology (BE.450) (Spring 2005),biological-engineering,https://ocw.mit.edu/courses/biological-engineering/20-450-molecular-and-cellular-pathophysiology-be-450-spring-2005,"This course focuses on the fundamentals of tissue and organ response to injury from a molecular and cellular perspective. There is a special emphasis on disease states that bridge infection, inflammation, immunity, and cancer. The systems approach to pathophysiology includes lectures, critical evaluation of recent scientific papers, and student projects and presentations."
Design of Medical Devices and Implants (Spring 2006),mechanical-engineering,https://ocw.mit.edu/courses/mechanical-engineering/2-782j-design-of-medical-devices-and-implants-spring-2006,"This design course targets the solution of clinical problems by use of implants and other medical devices. Topics include the systematic use of cell-matrix control volumes; the role of stress analysis in the design process; anatomic fit, shape and size of implants; selection of biomaterials; instrumentation for surgical implantation procedures; preclinical testing for safety and efficacy, including risk/benefit ratio assessment evaluation of clinical performance and design of clinical trials. Student project materials are drawn from orthopedic devices, soft tissue implants, artificial organs, and dental implants."
Biomedical Information Technology (Fall 2008),biological-engineering,https://ocw.mit.edu/courses/biological-engineering/20-453j-biomedical-information-technology-fall-2008,"This course teaches the design of contemporary information systems for biological and medical data. Examples are chosen from biology and medicine to illustrate complete life cycle information systems, beginning with data acquisition, following to data storage and finally to retrieval and analysis. Design of appropriate databases, client-server strategies, data interchange protocols, and computational modeling architectures. Students are expected to have some familiarity with scientific application software and a basic understanding of at least one contemporary programming language (e.g. C, C++, Java, Lisp, Perl, Python). A major term project is required of all students. This subject is open to motivated seniors having a strong interest in biomedical engineering and information system design with the ability to carry out a significant independent project."
Molecular Principles of Biomaterials (Spring 2006),biological-engineering,https://ocw.mit.edu/courses/biological-engineering/20-462j-molecular-principles-of-biomaterials-spring-2006,"This course covers the analysis and design at a molecular scale of materials used in contact with biological systems, including biotechnology and biomedical engineering. Topics include molecular interactions between bio- and synthetic molecules and surfaces; design, synthesis, and processing approaches for materials that control cell functions; and application of state-of-the-art materials science to problems in tissue engineering, drug delivery, vaccines, and cell-guiding surfaces."
Foundations of Algorithms and Computational Techniques in Systems Biology (Spring 2006),biological-engineering,https://ocw.mit.edu/courses/biological-engineering/20-482j-foundations-of-algorithms-and-computational-techniques-in-systems-biology-spring-2006,"This subject describes and illustrates computational approaches to solving problems in systems biology. A series of case-studies will be explored that demonstrate how an effective match between the statement of a biological problem and the selection of an appropriate algorithm or computational technique can lead to fundamental advances. The subject will cover several discrete and numerical algorithms used in simulation, feature extraction, and optimization for molecular, network, and systems models in biology."
Noninvasive Imaging in Biology and Medicine (Fall 2005),nuclear-engineering,https://ocw.mit.edu/courses/nuclear-engineering/22-56j-noninvasive-imaging-in-biology-and-medicine-fall-2005,"22.56J aims to give graduate students and advanced undergraduates background in the theory and application of noninvasive imaging methods to biology and medicine, with emphasis on neuroimaging. The course focuses on the modalities most frequently used in scientific research (X-ray CT, PET/SPECT, MRI, and optical imaging), and includes discussion of molecular imaging approaches used in conjunction with these scanning methods. Lectures by the professor will be supplemented by in-class discussions of problems in research, and hands-on demonstrations of imaging systems."
Foundations of Computational and Systems Biology (Spring 2014),biology,https://ocw.mit.edu/courses/biology/7-91j-foundations-of-computational-and-systems-biology-spring-2014,
Fundamentals of Biology (Fall 2011),biology,https://ocw.mit.edu/courses/biology/7-01sc-fundamentals-of-biology-fall-2011,
Introduction to Biology (Fall 2004),biology,https://ocw.mit.edu/courses/biology/7-012-introduction-to-biology-fall-2004,
Introductory Biology (Spring 2018),biology,https://ocw.mit.edu/courses/biology/7-013-introductory-biology-spring-2018,"The MIT Biology Department core Introductory Biology courses, 7.012, 7.013, 7.014, 7.015, and 7.016 all cover the same core material, which includes the fundamental principles of biochemistry, genetics, molecular biology, and cell biology. The focus of 7.013 is on genomic approaches to human biology, including neuroscience, development, immunology, tissue repair and stem cells, tissue engineering, and infectious and inherited diseases, including cancer."
Introductory Biology (Spring 2013),biology,https://ocw.mit.edu/courses/biology/7-013-introductory-biology-spring-2013,
Introductory Biology (Spring 2005),biology,https://ocw.mit.edu/courses/biology/7-014-introductory-biology-spring-2005,
Introductory Biology (Fall 2014),biology,https://ocw.mit.edu/courses/biology/7-016-introductory-biology-fall-2014,
Experimental Biology & Communication (Spring 2005),biology,https://ocw.mit.edu/courses/biology/7-02-experimental-biology-communication-spring-2005,
Experimental Biology - Communications Intensive (Spring 2005),biology,https://ocw.mit.edu/courses/biology/7-02ci-experimental-biology-communications-intensive-spring-2005,
Genetics (Fall 2004),biology,https://ocw.mit.edu/courses/biology/7-03-genetics-fall-2004,"This course discusses the principles of genetics with application to the study of biological function at the level of molecules, cells, and multicellular organisms, including humans. The topics include: structure and function of genes, chromosomes and genomes, biological variation resulting from recombination, mutation, and selection, population genetics, use of genetic methods to analyze protein function, gene regulation and inherited disease."
Cell Biology (Spring 2007),biology,https://ocw.mit.edu/courses/biology/7-06-cell-biology-spring-2007,"This course deals with the biology of cells of higher organisms: The structure, function, and biosynthesis of cellular membranes and organelles; cell growth and oncogenic transformation; transport, receptors, and cell signaling; the cytoskeleton, the extracellular matrix, and cell movements; chromatin structure and RNA synthesis."
Biological Chemistry II (Spring 2016),chemistry,https://ocw.mit.edu/courses/chemistry/5-08j-biological-chemistry-ii-spring-2016,"This course is an advanced treatment of biochemical mechanisms that underlie biological processes. Topics include macromolecular machines such as the ribosome, the proteasome, fatty acid synthases as a paradigm for polyketide synthases and non-ribosomal polypeptide synthases, and polymerases. Emphasis will be given to the experimental methods used to unravel how these processes fit into the cellular context as well as the coordinated regulation of these processes."
Experimental Microbial Genetics (Fall 2008),biology,https://ocw.mit.edu/courses/biology/7-13-experimental-microbial-genetics-fall-2008,
Experimental Microbial Genetics (Fall 2003),biology,https://ocw.mit.edu/courses/biology/7-13-experimental-microbial-genetics-fall-2003,
Experimental Molecular Genetics (Spring 2015),biology,https://ocw.mit.edu/courses/biology/7-15-experimental-molecular-genetics-spring-2015,
Experimental Molecular Biology: Biotechnology II (Spring 2005),biology,https://ocw.mit.edu/courses/biology/7-16-experimental-molecular-biology-biotechnology-ii-spring-2005,
Topics in Experimental Biology (Fall 2005),biology,https://ocw.mit.edu/courses/biology/7-18-topics-in-experimental-biology-fall-2005,This independent experimental study course is designed to allow students with a strong interest in independent research to fulfill the project laboratory requirement for the Biology Department Program in the context of a research laboratory at MIT. The research should be a continuation of a previous project under the direction of a member of the Biology Department faculty.
Developmental Biology (Fall 2005),biology,https://ocw.mit.edu/courses/biology/7-22-developmental-biology-fall-2005,"This graduate and advanced undergraduate level lecture and literature discussion course covers the current understanding of the molecular mechanisms that regulate animal development. Evolutionary mechanisms are emphasized as well as the discussion of relevant diseases. Vertebrate (mouse, chick, frog, fish) and invertebrate (fly, worm) models are covered. Specific topics include formation of early body plan, cell type determination, organogenesis, morphogenesis, stem cells, cloning, and issues in human development."
Principles of Human Disease (Spring 2006),biology,https://ocw.mit.edu/courses/biology/7-27-principles-of-human-disease-spring-2006,"This course covers current understanding of, and modern approaches to human disease, emphasizing the molecular and cellular basis of both genetic disease and cancer. Topics include: The Genetics of Simple and Complex Traits; Karyotypic Analysis and Positional Cloning; Genetic Diagnosis; The Roles of Oncogenes and Tumor Suppressors in Tumor Initiation, Progression, and Treatment; The Interaction between Genetics and Environment; Animal Models of Human Disease; Cancer; and Conventional and Gene Therapy Treatment Strategies."
Molecular Biology (Spring 2005),biology,https://ocw.mit.edu/courses/biology/7-28-molecular-biology-spring-2005,"This course covers a detailed analysis of the biochemical mechanisms that control the maintenance, expression, and evolution of prokaryotic and eukaryotic genomes. The topics covered in lectures and readings of relevant literature include gene regulation, DNA replication, genetic recombination, and mRNA translation. In particular, the logic of experimental design and data analysis is emphasized."
Cellular Neurobiology (Spring 2012),biology,https://ocw.mit.edu/courses/biology/7-29j-cellular-neurobiology-spring-2012,"This course serves as an introduction to the structure and function of the nervous system. Emphasis is placed on the cellular properties of neurons and other excitable cells. Topics covered include the structure and biophysical properties of excitable cells, synaptic transmission, neurochemistry, neurodevelopment, and the integration of information in simple systems and the visual system."
Ecology I: The Earth System (Fall 2009),civil-and-environmental-engineering,https://ocw.mit.edu/courses/civil-and-environmental-engineering/1-018j-ecology-i-the-earth-system-fall-2009,"We will cover fundamentals of ecology, considering Earth as an integrated dynamic system. Topics include coevolution of the biosphere, geosphere, atmosphere and oceans; photosynthesis and respiration; the hydrologic, carbon and nitrogen cycles. We will examine the flow of energy and materials through ecosystems; regulation of the distribution and abundance of organisms; structure and function of ecosystems, including evolution and natural selection; metabolic diversity; productivity; trophic dynamics; models of population growth, competition, mutualism and predation. This course is designated as Communication-Intensive; instruction and practice in oral and written communication provided. Biology is a recommended prerequisite."
Systems Biology (Fall 2014),physics,https://ocw.mit.edu/courses/physics/8-591j-systems-biology-fall-2014,"This course provides an introduction to cellular and population-level systems biology with an emphasis on synthetic biology, modeling of genetic networks, cell-cell interactions, and evolutionary dynamics. Cellular systems include genetic switches and oscillators, network motifs, genetic network evolution, and cellular decision-making. Population-level systems include models of pattern formation, cell-cell communication, and evolutionary systems biology."
Unusual Biology: The Science of Emerging Pathogens (Spring 2013),biology,https://ocw.mit.edu/courses/biology/7-340-unusual-biology-the-science-of-emerging-pathogens-spring-2013,"Infectious diseases represent a serious global public health problem. They have the potential to kill millions of people, whether they emerge naturally as outbreaks or pandemics, or deliberately through bioterrorism. Some examples of diseases caused by emerging pathogens are the Bubonic Plague, Toxoplasmosis, African Sleeping Sickness, and Chagas Disease. Each day, infectious disease scientists serve on the front lines protecting us from such threats.  In this course students will learn how to design and critique experiments through the discussion of primary research articles that explore the molecular basis of disease caused by emerging pathogens."
Regenerative Medicine: from Bench to Bedside (Spring 2010),biology,https://ocw.mit.edu/courses/biology/7-340-regenerative-medicine-from-bench-to-bedside-spring-2010,"Regenerative medicine involves the repair and regeneration of tissues for therapeutic purposes, such as replacing bone marrow in leukemia, cartilage in osteoarthritis or cells of the heart after a heart attack."
Learning and Memory: Activity-Controlled Gene Expression in the Nervous System (Fall 2009),biology,https://ocw.mit.edu/courses/biology/7-340-learning-and-memory-activity-controlled-gene-expression-in-the-nervous-system-fall-2009,"The mammalian brain easily outperforms any computer. It adapts and changes constantly. Most importantly, the brain enables us to continuously learn and remember. What are the molecular mechanisms that lead to learning and memory? What are the cellular roles that activity-regulated gene products play to implement changes in the brain?"
Under the Radar Screen: How Bugs Trick Our Immune Defenses (Spring 2007),biology,https://ocw.mit.edu/courses/biology/7-340-under-the-radar-screen-how-bugs-trick-our-immune-defenses-spring-2007,"In this course, we will explore the specific ways by which microbes defeat our immune system and the molecular mechanisms that are under attack (phagocytosis, the ubiquitin/proteasome pathway, MHC I/II antigen presentation). Through our discussion and dissection of the primary research literature, we will explore aspects of host-pathogen interactions. We will particularly emphasize the experimental techniques used in the field and how to read and understand research data. Technological advances in the fight against microbes will also be discussed, with specific examples."
"Avoiding Genomic Instability: DNA Replication, the Cell Cycle, and Cancer (Fall 2006)",biology,https://ocw.mit.edu/courses/biology/7-340-avoiding-genomic-instability-dna-replication-the-cell-cycle-and-cancer-fall-2006,In this class we will learn about how the process of DNA replication is regulated throughout the cell cycle and what happens when DNA replication goes awry. How does the cell know when and where to begin replicating its DNA? How does a cell prevent its DNA from being replicated more than once? How does damaged DNA cause the cell to arrest DNA replication until that damage has been repaired? And how is the duplication of the genome coordinated with other essential processes? We will examine both classical and current papers from the scientific literature to provide answers to these questions and to gain insights into how biologists have approached such problems.
Nano-life: An Introduction to Virus Structure and Assembly (Fall 2005),biology,https://ocw.mit.edu/courses/biology/7-340-nano-life-an-introduction-to-virus-structure-and-assembly-fall-2005,"Watson and Crick noted that the size of a viral genome was insufficient to encode a protein large enough to encapsidate it and reasoned, therefore that a virus shell must be composed of multiple, but identical subunits. Today, high resolution structures of virus capsids reveal the basis of this genetic economy as a highly symmetrical structure, much like a geodesic dome composed of protein subunits. Crystallographic structures and cryo-electron microscopy reconstructions combined with molecular data are beginning to reveal how these nano-structures are built. Topics covered in the course will include basic principles of virus structure and symmetry, capsid assembly, strategies for enclosing nucleic acid, proteins involved in entry and exit, and the life cycles of well understood pathogens such as HIV, influenza, polio, and Herpes. A review of cutting edge structural methods is also covered."
Ubiquitination: The Proteasome and Human Disease (Fall 2004),biology,https://ocw.mit.edu/courses/biology/7-340-ubiquitination-the-proteasome-and-human-disease-fall-2004,
Immune Evasion: How Sneaky Pathogens Avoid Host Surveillance (Spring 2004),biology,https://ocw.mit.edu/courses/biology/7-340-immune-evasion-how-sneaky-pathogens-avoid-host-surveillance-spring-2004,
DNA's Sister Does All the Work: The Central Roles of RNA in Gene Expression (Spring 2019),biology,https://ocw.mit.edu/courses/biology/7-341-dnas-sister-does-all-the-work-the-central-roles-of-rna-in-gene-expression-spring-2019,
Biomaterials and Devices for Disease Diagnosis and Therapy (Fall 2018),biology,https://ocw.mit.edu/courses/biology/7-341-biomaterials-and-devices-for-disease-diagnosis-and-therapy-fall-2018,"Students will learn about the use of biomaterials to create advanced diagnostic tools for detection of infectious and chronic diseases, restore insulin production to supplement lost pancreatic function in diabetes, provide cells with appropriate physical, mechanical, and biochemical cues to direct tissue regeneration, and enhance the efficacy of cancer immunotherapy."
The Microbiome and Drug Delivery: Cross-species Communication in Health and Disease (Spring 2018),biology,https://ocw.mit.edu/courses/biology/7-341-the-microbiome-and-drug-delivery-cross-species-communication-in-health-and-disease-spring-2018,"There are more microbes permanently living in our gut than there are cells in the human body. This rich community of bacteria, fungi and viruses, called the microbiome, plays a central role in human health and disease. Recent research has linked this passenger community to nutrition, circadian rhythms, infectious disease, inflammatory disease, cancer, diabetes, arthritis and even immune system and nervous system development. How can we analyze such a complex system? Can we exploit the microbiome to improve human health? Can interactions with microbes be harnessed for drug delivery?"
Host Hacking: Parasitic Manipulations from a Micro- to a Macroscopic Scale (Fall 2016),biology,https://ocw.mit.edu/courses/biology/7-341-host-hacking-parasitic-manipulations-from-a-micro-to-a-macroscopic-scale-fall-2016,
Of Mice and Men: Humanized Mice in Cancer Research (Spring 2015),biology,https://ocw.mit.edu/courses/biology/7-341-of-mice-and-men-humanized-mice-in-cancer-research-spring-2015,"This course will act as an introduction to the latest developments in the fields of cancer biology and immunotherapy. Almost everyone knows someone whose life has been affected by cancer. Why is cancer such a difficult disease to treat? What is the best system to model the development of a human tumor? How can new treatment modalities, especially immune-based therapies that harness the natural ability of immune cells to kill target cells, be developed to treat cancer? These and other questions will be addressed in this course. We will explore the concepts of mouse models for human cancer, humanized cancer mice and cancer immunotherapy by reading recent and classic research articles."
Designer Immunity: Lessons in Engineering the Immune System (Spring 2014),biology,https://ocw.mit.edu/courses/biology/7-341-designer-immunity-lessons-in-engineering-the-immune-system-spring-2014,"The immune system is one of the most complex and powerful of human body systems. It is highly dynamic and flexible, yet strictly regulates homeostasis and protects our bodies from both foreign and self-derived challenges. As basic understanding of immune function is growing, researchers are rapidly designing clever and diverse strategies to manipulate immunology to improve human health. In this course, we will explore important advances rooted in engineering principles to harness the power of the immune system, focusing on how engineering has fueled or inspired research concerning (1) vaccines, (2) immunotherapies, and (3) systems immunology."
Harnessing the Biosphere: Natural Products and Biotechnology (Fall 2012),biology,https://ocw.mit.edu/courses/biology/7-341-harnessing-the-biosphere-natural-products-and-biotechnology-fall-2012,"What do the organisms of the biosphere, specifically microorganisms, have to offer to biotechnological endeavors? In this course we will focus on the production of biomolecules using microbial systems. We will discuss potential growth substrates (such as agricultural waste and carbon dioxide) that can be used and learn about both established and cutting-edge manipulation techniques in the field of synthetic biology. We will also cover the production of biofuels, bioplastics, amino acids (e.g. lysine), food additives (e.g. monosodium glutamate, MSG), specialty chemicals (e.g. succinate), and biopharmaceuticals (e.g. plasmids for gene therapy)."
Bench to Bedside: Molecularly Targeted Therapies in Blood Disorders and Malignancy (Fall 2009),biology,https://ocw.mit.edu/courses/biology/7-341-bench-to-bedside-molecularly-targeted-therapies-in-blood-disorders-and-malignancy-fall-2009,"Where do new drugs and treatments come from? This class will take you from the test tubes and mice of the laboratory to the treatment of patients with deadly blood disorders. Students will learn how to think as a scientist through discussion of primary research papers describing the discoveries of several novel treatments. Topics such as gene therapy, the potential of drugs based on RNA interference and the reprogramming of somatic cells into stem cells for regenerative medicine will be discussed."
The DNA Damage Response as a Target for Anti-Cancer Therapy (Fall 2008),biology,https://ocw.mit.edu/courses/biology/7-341-the-dna-damage-response-as-a-target-for-anti-cancer-therapy-fall-2008,Cellular responses to DNA damage constitute one of the most important fields in cancer biology. In this class we will analyze classical and recent papers from the primary research literature to gain a profound understand of cell cycle regulation and DNA damage checkpoints that act as powerful emergency brakes to prevent cancer.
Brightening up Life: Harnessing the Power of Fluorescence Imaging to Observe Biology in Action (Fall 2006),biology,https://ocw.mit.edu/courses/biology/7-341-brightening-up-life-harnessing-the-power-of-fluorescence-imaging-to-observe-biology-in-action-fall-2006,"One summer in the 1960s a young Japanese researcher, with the help of a few high school students, chopped up ten thousand jellyfish. As a by-product of this harvest, they isolated a green fluorescent protein (GFP). Since then, GFP has triggered a revolution in our understanding of gene expression and signaling in live cells. In this seminar, we will examine how this small protein generates fluorescence, i.e. absorbs light of one wavelength and emits light of a longer wavelength. We will discuss how the color palette has been extended from green to blue, red and many other colors, based on protein engineering of GFP and the study of vividly colorful coral reefs. We will then investigate how these fluorescent proteins can be used to track the motion of DNA, RNA and protein in living cells, as well as to see waves of signaling molecules propagate across a cell. GFP is also a powerful tool for fluorescent imaging of whole organisms, from worms to mice, and we will see how it has been used in tracking the spread of cancer cells, controlling malaria and in understanding how neuronal connections form. In this seminar, we will explore this wonderful protein as well as other important methods and reagents for fluorescent imaging."
A Double-Edged Sword: Cellular Immunity in Health and Disease (Fall 2018),biology,https://ocw.mit.edu/courses/biology/7-342-a-double-edged-sword-cellular-immunity-in-health-and-disease-fall-2018,"Immune cells protect our bodies from both self-derived threats and exogenous pathogens, while keeping peace with normal cells and non-harmful commensal microbiota. They have various mechanisms to perform these tasks, a capacity that is essential for maintaining homeostasis. However, these same mechanisms can backfire, resulting in severe disorders such as immunodeficiency, chronic inflammation, allergy, degenerative diseases, and cancer. This course discusses the connections between normal physiology and disease by examining the developmental relationship between innate and adaptive immune cells as well as the functions and malfunctions of immune cells. The course familiarizes students with both basic biological principles (such as cell death and immune cell signaling) and clinical applications (such as immune checkpoint blockade). More generally, students learn to identify relevant primary research literature, critically evaluate experimental data, and reach their own conclusions based on primary data."
How To Build An Animal: Cell Fate and Identity in Development and Disease (Fall 2017),biology,https://ocw.mit.edu/courses/biology/7-342-how-to-build-an-animal-cell-fate-and-identity-in-development-and-disease-fall-2017,"In this course, we will explore how animals determine and maintain cell fate. We will discuss changes to DNA structure and packaging, special proteins (known as ""master regulators"") with the ability to alter cell fate via transcription, cell-cell signaling, and RNA localization."
The RNA Revolution: At the Frontiers of Cell Biology and Molecular Medicine (Fall 2016),biology,https://ocw.mit.edu/courses/biology/7-342-the-rna-revolution-at-the-frontiers-of-cell-biology-and-molecular-medicine-fall-2016,"In this course, we will investigate the diverse types and functions of  different RNA species, with a focus on ""non-coding RNAs,"" i.e. those  that do not directly encode proteins. The course will convey both the  exciting discoveries in and frontiers of RNA research that are  propelling our understanding of cell biology as well as the intellectual  and experimental approaches responsible."
Pluripotent Stem Cells and Genome Engineering for Modeling Human Diseases (Spring 2015),biology,https://ocw.mit.edu/courses/biology/7-342-pluripotent-stem-cells-and-genome-engineering-for-modeling-human-diseases-spring-2015,"One of the major priorities in biomedical research is understanding the molecular events that establish the complex processes involved in human development and the relationships of these processes to human disease and disease progression. In this class, we will explore stem cell biology and the way in which it has developed and shaped our ability to study complex human disease. We will introduce the field of stem cell biology and genome engineering through critical reading of both the classical and newest primary research literature. In addition, this course will discuss specific disease model systems and their benefits / limitations for understanding the disease and treating human patients."
Sweet Discoveries: Unraveling the Complex World of Sugars in Health and Disease (Fall 2014),biology,https://ocw.mit.edu/courses/biology/7-342-sweet-discoveries-unraveling-the-complex-world-of-sugars-in-health-and-disease-fall-2014,"Glycans, which are complex assemblies of sugars, are the most prevalent class of macromolecules, surpassing nucleic acids, proteins and lipids. Glycans are essential for life, as they are a required energy source, provide protection against cellular stresses and shape cellular structure. During this course, we will explore the many roles glycans play in human health and disease. For example, we will learn about the healthy glycosylation patterns of many mammalian proteins and the dynamic changes that glycan structures undergo during early development and cancer metastasis, the influence of dietary carbohydrates on glycan metabolism, and the role of densely glycosylated proteins involved in HIV infectivity. Concurrently, we will learn about the chemical and biological techniques used to detect and visualize glycans by in vitro and whole-animal metabolic labeling approaches, how to profile protein-glycan interactions using high-throughput glycan arrays, and about the development of new carbohydrate-based therapeutics and vaccines to target HIV, influenza and bacterial pathogens. The course will focus on the primary research literature, and we will learn practical laboratory techniques, experimental design and how to interpret data and critique the conclusions offered by authors."
Personal Genomics and Medicine: What's in Your Genome? (Spring 2014),biology,https://ocw.mit.edu/courses/biology/7-342-personal-genomics-and-medicine-whats-in-your-genome-spring-2014,"Human genome sequencing has revolutionized our understanding of disease susceptibility, drug metabolism and human ancestry. This course will explore how these advances have been made possible by revolutionary new sequencing methodologies that have decreased costs and increased throughput of genome analysis, making it possible to examine genetic correlates for a variety of biological processes and disorders. The course will combine discussions of primary scientific research papers with hands-on data analysis and small group presentations."
Cell-material Crosstalk: Engineering Cell-Instructive Biomaterials (Fall 2013),biology,https://ocw.mit.edu/courses/biology/7-342-cell-material-crosstalk-engineering-cell-instructive-biomaterials-fall-2013,"Biomaterials are substances that have been designed to direct the course of any therapeutic or diagnostic procedure by controlling interactions with biological systems. A large toolbox of non-biological materials has been engineered to study cell behavior at the cell-material interface. In this course, we will examine how this interface can be leveraged to study cellular systems and generate novel therapeutics."
To Divide or Not To Divide: Control of Cell Cycle and Growth by Extracellular Cues (Fall 2012),biology,https://ocw.mit.edu/courses/biology/7-342-to-divide-or-not-to-divide-control-of-cell-cycle-and-growth-by-extracellular-cues-fall-2012,"Cells, regardless of whether they are in an organ in the human body or a component of a bacterial colony, can sense the chemical composition of the environment, the presence of neighboring cells, and even the types of their neighboring cells. Depending on the identity of a cell and the information it receives from its environment, it can grow (increase in size), proliferate (make more cells), become quiescent (stop growing and dividing), differentiate (make different types of cells), or die. How cells achieve the astonishing feat of appropriately sensing and responding to their environment has been a major question in biology. In this course we will read and critically discuss the primary scientific literature with the goal of highlighting the basic principles of cell growth, adaptation, and differentiation."
The Biology of Aging: Age-Related Diseases and Interventions (Fall 2011),biology,https://ocw.mit.edu/courses/biology/7-342-the-biology-of-aging-age-related-diseases-and-interventions-fall-2011,"Aging involves an intrinsic and progressive decline in function that eventually will affect us all. While everyone is familiar with aging, many basic questions about aging are mysterious. Why are older people more likely to experience diseases like cancer, stroke, and neurodegenerative disorders? What changes happen at the molecular and cellular levels to cause the changes that we associate with old age? Is aging itself a disease, and can we successfully intervene in the aging process?"
Powerhouse Rules: The Role of Mitochondria in Human Diseases (Spring 2011),biology,https://ocw.mit.edu/courses/biology/7-342-powerhouse-rules-the-role-of-mitochondria-in-human-diseases-spring-2011,"The primary role of mitochondria is to produce 90% of a cell's energy in the form of ATP through a process called oxidative phosphorylation. A variety of clinical disorders have been shown to include ""mitochondrial dysfunction,"" which loosely refers to defective oxidative phosphorylation and usually coincides with the occurrence of excess Reactive Oxygen Species (ROS) production, placing cells under oxidative stress.  A known cause and effect of oxidative stress is damage to and mutation of mitochondrial DNA.  We will use this class to explore issues relating to mitochondrial DNA integrity and how it can be damaged, repaired, mutated, and compromised in human diseases."
Systems and Synthetic Biology: How the Cell Solves Problems (Fall 2010),biology,https://ocw.mit.edu/courses/biology/7-342-systems-and-synthetic-biology-how-the-cell-solves-problems-fall-2010,"A millennial challenge in biology is to decipher how vast arrays of molecular interactions inside the cell work in concert to produce a cellular function. Systems biology, a new interdisciplinary field of science, brings together biologists and physicists to tackle this grand challenge through quantitative experiments and models. In this course, we will discuss the unifying principles that all organisms use to perform cellular functions. We will also discuss key challenges faced by a cell in both single and multi-cellular organisms. Finally, we will discuss how researchers in the field of synthetic biology are using the new knowledge gained from studying naturally-occurring biological systems to create artificial gene networks capable of performing new functions."
